AllTrace
Swept SA
A.27.05,N9030B
550 B1X B1Y B25 B40 DP2 DP4 EP1 FS1 FS2 FSA LFE MPB NF2 NUL P50 PFR RTL RTS RT1 ESC FT1 RCL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,750000000
Stop Frequency,2000000000
Average Count,100
Average Type,LogPower(Video)
RBW,510000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,On
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,High
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,0
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold,Maxhold,Clearwrite,Clearwrite,Clearwrite,Clearwrite
Detector,Peak,Peak,Peak,Peak,Peak,Peak
Trace Math,Off,Off,Off,Off,Off,Off
Trace Math Oper1,Trace5,Trace6,Trace1,Trace2,Trace3,Trace4
Trace Math Oper2,Trace6,Trace1,Trace2,Trace3,Trace4,Trace5
Trace Math Offset,0,0,0,0,0,0
Normalize,Off
Trace Name,Trace1,Trace2,Trace3,Trace4,Trace5,Trace6
X Axis Units,Hz
Y Axis Units,dBuV
DATA
750000000,72.823302185694,74.7819050909676,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
751250000,72.7187927557624,74.6896103216805,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
752500000,72.7458407904304,74.7595660711922,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
753750000,72.6341482855475,74.7497450567879,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
755000000,72.4785371710456,74.6499925543465,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
756250000,72.3927464605963,74.5953526617683,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
757500000,72.3878006292975,74.6386284186043,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
758750000,72.5026477362311,74.7534755255379,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
760000000,72.6233771063483,74.853624603907,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
761250000,72.7734987188971,74.9026109625496,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
762500000,72.7527638556159,74.9183369757332,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
763750000,72.8582001043952,74.8660431219734,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
765000000,72.9305591131843,74.9332637335457,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
766250000,73.2704390265144,75.1817244269051,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
767500000,73.6360414435066,75.4635446478524,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
768750000,73.9002225042976,75.721847260157,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
770000000,74.1614662481941,75.8449188543953,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
771250000,74.2639613653816,75.9621158148446,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
772500000,74.3840956427254,76.0734266974129,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
773750000,74.5556749273933,76.1759218146004,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
775000000,74.8301442267098,76.4070332647957,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
776250000,75.1928055121102,76.6590034796395,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
777500000,75.4114200140633,76.8313190008797,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
778750000,75.5139151312508,76.8975172735848,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
780000000,75.5340967108406,76.9010820318856,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
781250000,75.5542821051277,76.8526295782723,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
782500000,75.6361969305672,76.8316543890633,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
783750000,75.7842586065926,76.9385592962899,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
785000000,75.9852339483895,77.090580628077,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
786250000,76.1935602118172,77.2559953619637,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
787500000,76.2754788519539,77.307777893702,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
788750000,76.2456840826668,77.3010544134774,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
790000000,76.2242854620613,77.3021510626473,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
791250000,76.1846449591317,77.2686751104989,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
792500000,76.0773889471688,77.2738649298348,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
793750000,76.0642071844735,77.3125783087411,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
795000000,75.9834099127449,77.3004150702156,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
796250000,75.8673343207039,77.2891521002449,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
797500000,75.7277411200203,77.1965941168465,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
798750000,75.5499322821297,77.0922792364754,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
800000000,75.4309193731941,77.0496976019539,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
801250000,75.3376251532234,77.0365158392586,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
802500000,75.2752032782234,77.0086322333016,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
803750000,75.2267431952156,77.0351385809578,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
805000000,75.1959222723641,77.0557626654305,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
806250000,75.1327641607918,77.0712407232918,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
807500000,75.0107910467781,77.0381958319344,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
808750000,74.8916141058601,77.1071635748543,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
810000000,74.8282957770027,77.1379156805672,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
811250000,74.8002481390633,77.2127618719735,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
812500000,74.6869534613289,77.2758511664071,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
813750000,74.5545471502937,77.3007210089364,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
815000000,74.4309604193367,77.3469035650887,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
816250000,74.329422638575,77.4151388861336,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
817500000,74.298437683741,77.4870439459481,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
818750000,74.1557431341804,77.5629086615242,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
820000000,74.0159897162117,77.6440872503914,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
821250000,73.9673656012214,77.7909587408699,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
822500000,73.8481924750007,78.0010321356453,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
823750000,73.8554231573737,78.249324982325,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
825000000,73.9155713202155,78.5020238043465,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
826250000,73.9132500006355,78.7373733832039,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
827500000,73.9065188910163,78.9398135687508,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
828750000,73.836582062403,79.0730055548348,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
830000000,73.7828157354987,79.2085664679207,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
831250000,73.7812306524909,79.4600827337899,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
832500000,73.8737160040534,79.6885315252938,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
833750000,73.9603190924323,79.9111018683114,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
835000000,74.0351652838386,80.0576872564949,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
836250000,73.9865449835456,80.1864694525399,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
837500000,73.9202817083991,80.1878216864266,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
838750000,73.6849853827155,80.1737396551766,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
840000000,73.5643397833502,80.2012683417,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
841250000,73.4657431341803,80.2614165045418,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
842500000,73.3524446417487,80.3255243231453,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
843750000,73.2509068609869,80.3596638800301,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
845000000,73.111668427149,80.355202515284,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
846250000,72.9548480536138,80.3071544195809,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
847500000,72.7039572455083,80.206188843409,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
848750000,72.6235681463872,80.1140466620125,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
850000000,72.5725827337895,80.101723206202,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
851250000,72.6156677557621,80.1139396979012,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
852500000,72.6822665716801,80.1374629522957,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
853750000,72.7812063910161,80.1717283941903,-893.01029995664,-893.01029995664,-893.01029995664,-893.01029995664
